Feature,Group,Importance
count_ClaimID_perProvider,Provider-level,12.506232077316255
count_ClaimID_perProviderClmProcedureCode_4,Provider-level,8.578027803741294
count_ClaimID_perProviderClmProcedureCode_3,Provider-level,7.905802669200748
mean_Hospital_Days_perProvider,Provider-level,6.50466626881266
mean_DeductibleAmtPaid_perProvider,Provider-level,5.8666510863727
mean_IPAnnualReimbursementAmt_perProvider,Provider-level,5.437650177061683
count_ClaimID_perProviderClmProcedureCode_5,Provider-level,5.355178756562249
mean_Claim_Days_perProvider,Provider-level,5.215275929088569
mean_InscClaimAmtReimbursed_perProvider,Provider-level,5.074441967735811
mean_Age_perProvider,Provider-level,4.591568602762567
mean_OPAnnualDeductibleAmt_perProvider,Provider-level,4.467486178848676
mean_IPAnnualDeductibleAmt_perProvider,Provider-level,3.8407946133790105
count_ClaimID_perProviderClmDiagnosisCode_10,Provider-level,3.1522630832199123
mean_Risk_perProvider,Provider-level,2.8941513859032124
count_ClaimID_perProviderClmProcedureCode_2,Provider-level,2.6439704873563383
mean_OPAnnualReimbursementAmt_perProvider,Provider-level,2.557363929349698
count_ClaimID_perProviderAttendingPhysician,Provider-level,1.1878178398850887
count_ClaimID_perProviderClmProcedureCode_1,Provider-level,1.0691990384078665
count_ClaimID_perProviderDiagnosisGroupCode,Provider-level,1.0656521084620565
ChronicCond_Alzheimer_1,Chronic-condition,1.0032275342722976
Age_Category_Old,Demographic,0.9996494924298324
Gender_1,Demographic,0.7596015219532857
ChronicCond_Osteoporasis_0,Chronic-condition,0.7502675255375187
ChronicCond_rheumatoidarthritis_0,Chronic-condition,0.7279013967544684
Gender_0,Demographic,0.7169634931482028
ChronicCond_Alzheimer_0,Chronic-condition,0.7102525037875055
ChronicCond_rheumatoidarthritis_1,Chronic-condition,0.5609241667881864
ChronicCond_Depression_1,Chronic-condition,0.5437540310540667
ChronicCond_Heartfailure_0,Chronic-condition,0.4504228011283789
ChronicCond_Diabetes_1,Chronic-condition,0.3896046762337239
ChronicCond_Diabetes_0,Chronic-condition,0.3724580307917075
ChronicCond_Osteoporasis_1,Chronic-condition,0.3366244949293679
ChronicCond_Heartfailure_1,Chronic-condition,0.2765642972897245
ChronicCond_KidneyDisease_0,Chronic-condition,0.2152016367789405
ChronicCond_Depression_0,Chronic-condition,0.208423558629834
count_ClaimID_perProviderClmDiagnosisCode_8,Provider-level,0.1747747240556247
count_ClaimID_perProviderBeneID,Provider-level,0.1636896317557734
count_ClaimID_perProviderClmDiagnosisCode_9,Provider-level,0.1569172277121323
ChronicCond_ObstrPulmonary_0,Chronic-condition,0.1391169495881949
ChronicCond_IschemicHeart_0,Chronic-condition,0.0918587001705234
ChronicCond_IschemicHeart_1,Chronic-condition,0.0727080519885426
count_ClaimID_perProviderClmDiagnosisCode_7,Provider-level,0.0629301681588336
count_ClaimID_perProviderClmDiagnosisCode_4,Provider-level,0.0484733568647147
count_ClaimID_perProviderClmDiagnosisCode_5,Provider-level,0.0431617134604988
count_ClaimID_perProviderOtherPhysician,Provider-level,0.0251005365016376
count_ClaimID_perProviderOperatingPhysician,Provider-level,0.0235862811245763
count_ClaimID_perProviderClmDiagnosisCode_6,Provider-level,0.0197450182752781
mean_DeductibleAmtPaid_perAttendingPhysician,Physician-level,0.0142533474129802
mean_IPAnnualDeductibleAmt_perAttendingPhysician,Physician-level,0.0068949831800719
mean_InscClaimAmtReimbursed_perAttendingPhysician,Physician-level,0.0066433251773578
mean_Hospital_Days_perAttendingPhysician,Physician-level,0.0060602396521444
mean_Claim_Days_perBeneID,Other,0.0055092290524093
mean_IPAnnualReimbursementAmt_perAttendingPhysician,Physician-level,0.0011243230274559
mean_Hospital_Days_perClmDiagnosisCode_1,Diagnosis/Procedure-level,0.0010341055511516
mean_Claim_Days_perAttendingPhysician,Physician-level,0.000226892237179
mean_Risk_perClmProcedureCode_4,Diagnosis/Procedure-level,0.000107048396117
mean_Hospital_Days_perClmProcedureCode_4,Diagnosis/Procedure-level,3.69066451890225e-05
mean_Hospital_Days_perClmProcedureCode_5,Diagnosis/Procedure-level,4.73309476653469e-06
mean_InscClaimAmtReimbursed_perClmProcedureCode_5,Diagnosis/Procedure-level,3.0956771328202365e-06
mean_IPAnnualReimbursementAmt_perClmProcedureCode_5,Diagnosis/Procedure-level,2.119527986586981e-06
mean_OPAnnualDeductibleAmt_perClmProcedureCode_5,Diagnosis/Procedure-level,1.414170651218891e-06
mean_Claim_Days_perClmProcedureCode_5,Diagnosis/Procedure-level,7.125677001758449e-07
