Rank,Feature,Importance
1,count_ClaimID_perProvider,12.506232077316255
2,count_ClaimID_perProviderClmProcedureCode_4,8.578027803741294
3,count_ClaimID_perProviderClmProcedureCode_3,7.905802669200748
4,mean_Hospital_Days_perProvider,6.50466626881266
5,mean_DeductibleAmtPaid_perProvider,5.8666510863727
6,mean_IPAnnualReimbursementAmt_perProvider,5.437650177061683
7,count_ClaimID_perProviderClmProcedureCode_5,5.355178756562249
8,mean_Claim_Days_perProvider,5.215275929088569
9,mean_InscClaimAmtReimbursed_perProvider,5.074441967735811
10,mean_Age_perProvider,4.591568602762567
11,mean_OPAnnualDeductibleAmt_perProvider,4.467486178848676
12,mean_IPAnnualDeductibleAmt_perProvider,3.8407946133790105
13,count_ClaimID_perProviderClmDiagnosisCode_10,3.1522630832199123
14,mean_Risk_perProvider,2.8941513859032124
15,count_ClaimID_perProviderClmProcedureCode_2,2.6439704873563383
16,mean_OPAnnualReimbursementAmt_perProvider,2.557363929349698
17,count_ClaimID_perProviderAttendingPhysician,1.1878178398850887
18,count_ClaimID_perProviderClmProcedureCode_1,1.0691990384078665
19,count_ClaimID_perProviderDiagnosisGroupCode,1.0656521084620565
20,ChronicCond_Alzheimer_1,1.0032275342722976
21,Age_Category_Old,0.9996494924298324
22,Gender_1,0.7596015219532857
23,ChronicCond_Osteoporasis_0,0.7502675255375187
24,ChronicCond_rheumatoidarthritis_0,0.7279013967544684
25,Gender_0,0.7169634931482028
26,ChronicCond_Alzheimer_0,0.7102525037875055
27,ChronicCond_rheumatoidarthritis_1,0.5609241667881864
28,ChronicCond_Depression_1,0.5437540310540667
29,ChronicCond_Heartfailure_0,0.4504228011283789
30,ChronicCond_Diabetes_1,0.38960467623372397
31,ChronicCond_Diabetes_0,0.3724580307917075
32,ChronicCond_Osteoporasis_1,0.33662449492936797
33,ChronicCond_Heartfailure_1,0.27656429728972454
34,ChronicCond_KidneyDisease_0,0.21520163677894055
35,ChronicCond_Depression_0,0.20842355862983408
36,count_ClaimID_perProviderClmDiagnosisCode_8,0.17477472405562475
37,count_ClaimID_perProviderBeneID,0.16368963175577345
38,count_ClaimID_perProviderClmDiagnosisCode_9,0.1569172277121323
39,ChronicCond_ObstrPulmonary_0,0.13911694958819498
40,ChronicCond_IschemicHeart_0,0.09185870017052342
41,ChronicCond_IschemicHeart_1,0.07270805198854265
42,count_ClaimID_perProviderClmDiagnosisCode_7,0.06293016815883365
43,count_ClaimID_perProviderClmDiagnosisCode_4,0.04847335686471471
44,count_ClaimID_perProviderClmDiagnosisCode_5,0.043161713460498886
45,count_ClaimID_perProviderOtherPhysician,0.025100536501637676
46,count_ClaimID_perProviderOperatingPhysician,0.023586281124576357
47,count_ClaimID_perProviderClmDiagnosisCode_6,0.019745018275278126
48,mean_DeductibleAmtPaid_perAttendingPhysician,0.014253347412980252
49,mean_IPAnnualDeductibleAmt_perAttendingPhysician,0.006894983180071927
50,mean_InscClaimAmtReimbursed_perAttendingPhysician,0.006643325177357845
